title,author,date,content
Don't make Messi mad! Never a good time to face frustrated Barcelona captain,Rik Sharma,"Feb 10, 2020",The captain went to war with sporting director Eric Abidal during the week but he responded by taking his frustration out on Real Betis on Sunday
'All you need is Alisson!' - Liverpool ace is the Messi of goalkeepers,Neil Jones,"Feb 13, 2020",Jurgen Klopp's side did well during the Brazilian's injury-enforced absence but have gone to another level since he returned to the side
What will Setien's return to Cruyff-style football mean for Messi?,Rik Sharma,"Jan 31, 2020",The Barcelona No.10 has thrived no matter the coach in charge but the team is very different to the one which he starred in under Pep Guardiola
Barcelona in crisis: Messi - Abidal row highlights growing fractures at Camp Nou,Rik Sharma,"Feb 05, 2020","On Tuesday the Blaugrana had a triple-whammy of bad news, the most serious of which came when their best-ever player called out the sporting director"
How 'German Messi' and World Cup winner Gotze failed to live up to the hype,Ronan Murphy,"Jan 15, 2020",The once-heralded attacker has not been given a new contract by Borussia Dortmund and will be without a club at the end of the season
Messi will be the 'queen' for chess-obsessive Quique Setien,Rik Sharma,"Jan 15, 2020",A lifetime spent poring over chess and the football of Johan Cruyff has prepared the new Barcelona boss for the job at hand at Camp Nou
Setien & Messi bring Barcelona back to the future,Rik Sharma,"Jan 19, 2020","The Blaugrana returned to the top of La Liga with a 1-0 victory over 10-man Granada, showing signs of their old magic under their new coach"
"The real Ronaldo has returned: Can Inter, Messi or anyone else stop him this season?",Mark Doyle,"Jan 24, 2020",The Juventus forward has scored in seven consecutive Serie A games and the 34-year-old looks determined to win it all in 2020
Messi continues to stand in the way of Madrid's title dream,Rik Sharma,"Dec 23, 2019",The Blancos have improved significantly in recent months but their Catalan rivals have a genius within their ranks who shows no signs of slowing down
Ronaldinho is right: We can only say Messi is the best player of his own era,Mark Doyle,"Dec 14, 2019",The ex-Barca playmaker pointed out that it is impossible to rank the likes of Messi and Maradona because they played in such very different periods
The Conte effect: 'The Messi of coaches' has put Inter back on top of Serie A,Josh Thomas,"Dec 06, 2019","After a decade of despair, the Nerazzurri are battling Juventus for the Scudetto thanks to a remarkable transformation overseen by a former Bianconero"
"Immobile: The Lazio striker leading Lewandowski, Messi and Ronaldo in Golden Shoe race",Mark Doyle,"Dec 05, 2019","Ahead of Saturday's Serie A clash with Juventus, the polarising striker is in the form of his life, having hit 17 goals in just 14 Serie A games"
'I was not the new Messi' - How Bojan overcame anxiety attacks to become his own man,Kieran Francis,"Dec 12, 2019","The former Barcelona forward struggled with being compared to the Argentine icon but he is proud of his career, despite the many ups and downs"
Make it seven! Ballon d'Or winner Messi hits treble as 'MSG' ignite against Mallorca,Rik Sharma,"Dec 07, 2019",The Argentine star was at his scintillating best on Saturday as he set his sights on more silverware
Barcelona to get a glimpse of their bleak Messi-less future,Rik Sharma,"Dec 10, 2019",He may have picked up his sixth Ballon d'Or but the No.10 set alarm bells ringing when he admitted last week that retirement was approaching
Messi is Barcelona's saviour once more as Griezmann flops on Atletico return,Rik Sharma,"Dec 01, 2019",The former Rojiblancos star was given a hostile reception on his return to the Spanish capital and he again struggled to make an impact
Messi can have the Ballon d'Or - Van Dijk driven by Premier League title,Mark Doyle,"Nov 30, 2019",The Dutchman scored two towering headers before then holding the Reds' defence together after Alisson's dismissal in a crucial 2-1 win over Brighton
Barcelona can always count on Messi & Suarez but never rely on Dembele,Rik Sharma,"Nov 28, 2019",The South American duo once again combined to devastating effect in the 3-1 win over Borussia Dortmund after the Frenchman had suffered another injury
Messi undeserving of sixth Ballon d'Or title? The only scandal is that he doesn't have more,Daniel Edwards,"Dec 02, 2019","The Barcelona idol continues to reach new heights on the pitch, and his consistent brilliance means he has few equals at the top of world football"
Madrid? Man Utd? Messi & Argentina? Pochettino has no shortage of suitors following shock replacement by Mourinho,Daniel Edwards,"Nov 20, 2019",Some of the world's biggest football institutions are now on alert after news of the Argentine's sacking broke on Tuesday
"Brazil, beware! Messi and Argentina out for revenge after Copa controversy",Daniel Edwards,"Nov 15, 2019",The Albiceleste star has served his three-month ban for inferring CONMEBOL was corrupt and now has another chance to put one over on the Selecao
Why Barcelona god Messi will never be worshipped in the same way in Argentina,Daniel Edwards,"Nov 14, 2019",The Camp Nou idol made his international debut as an unknown in complete obscurity and that 'outsider' tag has proven impossible to shake
Messi the set-piece king as Barcelona again rely on Argentine star's magic to see off Celta,Rik Sharma,"Nov 10, 2019",Yet another hat-trick from the 32-year-old sent Ernesto Valverde's side back to the top of La Liga as the forward displayed his dead-ball prowess
"David Villa, not Neymar or Suarez, was Messi's greatest strike partner",Rik Sharma,"Nov 15, 2019",Spanish top goalscorer recently confirmed his retirement and will go down in history as one of the biggest assets in the best team of all time
"Forget the Champions League, Leo - not even Messi can drag this Barca side to European glory",Rik Sharma,"Nov 06, 2019","The Argentine wants to get his hands on Europe's top-tier club trophy once again, but on this evidence he will have to wait"
Why Newell's' dreams of lining up with Messi will never come true,Daniel Edwards,"Nov 04, 2019",The Barcelona star has seemingly ended any lingering hopes that one day he will return to grace Rosario with his presence
Messi alone cannot save Barcelona in error-ridden loss to Levante,Rik Sharma,"Nov 02, 2019",Three second-half goals condemned the Liga champions to a first loss in eight with their Argentine playmaker the only bright point on a miserable day
Messi a man for all Champions League seasons - but will this really be Barcelona's?,Mark Doyle,"Oct 24, 2019",The Argentine scored one goal and created another in an unimpressive 2-1 win at Slavia Prague that offered more questions than answers
Enough Neymar talk! Griezmann has shown he can play with Messi and Suarez at Barcelona,Mark Doyle,"Oct 19, 2019","The French summer signing from Atletico Madrid was involved in all three goals in Saturday's win at Eibar, scoring the opener himself"
"More goals than Messi, overshadowing Lukaku: Marvellous Martinez is the future for Argentina & Inter",Daniel Edwards,"Oct 08, 2019","At just 22, the striker is already leading the way for club and country, raising hopes that Leo has found his perfect partner in the Albiceleste"
Injury-hit Messi enduring most painful start to a season in his career,Josh Thomas,"Oct 02, 2019",The Argentine star is struggling to get fit this campaign as the Catalans stumble in his absence
Suarez & Messi bail Barcelona boss Valverde of jail again by foiling Conte's masterplan,Rik Sharma,"Oct 02, 2019",Inter should have been more than one goal ahead when the Catalans' star duo once again combined to engineer a thrilling victory at Camp Nou
"No Messi, no problem: Barcelona's other saviour Ter Stegen both stops and create goals!",Mark Doyle,"Sep 28, 2019",The German produced a sensational save to keep Saturday's game at Getafe level before setting Luis Suarez up for the opener in a vital 2-0 win
Messi right to doubt Barca future given Champions League failures and shoddy transfers,Mark Doyle,"Sep 17, 2019","The usually media-shy Argentine has pointedly told his employers in public that while he is happy at Camp Nou, he wants to be part of a ""winning team"""
Under Messi’s umbrella: Barcelona’s plans for teenage sensation Ansu Fati,Josh Thomas & Ignasi Oliva,"Sep 23, 2019",The Catalans have a potential superstar on their hands and have laid out a blueprint to ensure they get the best out of him
Awful Barcelona have problems even Messi can't solve,Mark Doyle,"Sep 21, 2019","The Blaugrana suffered their second away defeat of the season, slumping to a dismal 2-0 defeat at Granada that highlighted their numerous issues"
No rest for Ernesto: Barcelona lose Messi - and their much-needed edge - in narrow win over Villarreal,Rik Sharma,"Sep 25, 2019","The Argentine's first start this season was meant to dig the under-fire boss out of a hole, but the skipper was gone almost as quickly as he returned"
The best FIFA player in the world! Named after Aubameyang and hoping to meet Messi - MoAuba's journey to the top,Josh Thomas,"Aug 30, 2019",The young German gamer defied all odds to claim the recent FIFA eWorld Cup and it's capped off a monumental rise to the top
Escape from Messi! The real Coutinho will now return at Bayern,Ronan Murphy,"Aug 19, 2019",The Brazilian had a frustrating time at Barcelona but will be free to express himself again after joining the Bundesliga champions on loan
Griezmann the great! Frenchman's stellar display against Betis helps Barcelona forget about missing Messi,Rik Sharma,"Aug 25, 2019","The forward scored a pair of goals on his Camp Nou debut, as a pair of academy talents also made headlines for the Blaugrana on Sunday"
From ‘new Messi’ to incompatible with Ronaldo - the downfall of Dybala at Juventus,Mark Doyle,"Aug 12, 2019",The Argentine No.10 has had a big fall from grace over the last year with Juventus desperate to offload the popular attacker this summer
"Hypocritical Messi wasn’t complaining during Chelsea, PSG & Madrid controversies",Josh Thomas,"Jul 10, 2019",The Barca star has been on the right side of some very debatable calls in the past but is only now complaining when things have gone against him
All-time great Robben only behind Messi and Ronaldo in this generation,Josh Thomas,"Jul 05, 2019","The Bayern Munich legend may have flown under the radar, but he bows out of the game as one of the best"
"Messi & Icardi in, Otamendi & Di Maria out: The Argentina flops who must stay and go after Copa America failure",Daniel Edwards,"Jul 04, 2019",The PSG and Manchester City stars were deeply disappointing in Brazil and could be sacrificed as Argentina continue to renew their ranks
"How Messi corruption claims, Bolsonaro interference & VAR brought shame to Copa America",Daniel Edwards,"Jul 08, 2019","The 2019 edition of the trophy was the bitterest and most controversial in recent memory, giving lie to the claim that technology can end disputes"
"Football can survive without Ronaldo & Messi, tennis is doomed after Federer, Nadal & Djokovic",Mark Doyle,"Jul 11, 2019","Football, by its very nature, is better equipped to thrive without two of its all-time greats but there are other threats to its continued popularity"
Age is just a number! Dani Alves rolls back the years to take down Messi and Argentina,Daniel Edwards,"Jul 03, 2019",The PSG full-back continues to defy his 36 years as he led the Selecao into the final of the Copa America on Tuesday
Leo's not alone: Motivated Messi has every reason to keep fighting with rejuvenated Argentina,Daniel Edwards,"Jul 03, 2019","Brazil proved too strong for a developing Albiceleste side in Belo Horizonte, but there is plenty of promise for the future with Leo leading the way"
"This isn’t Barcelona, Leo! Super Suarez upstaging Messi at Copa America",Daniel Edwards,"Jun 27, 2019","Just weeks after going under the knife due to a knee injury, the fiery Uruguayan has played a huge part in his nation's march to the quarter-finals"
Messi struggles while Argentina click: Have the Albiceleste finally broken their Leo-dependency?,Daniel Edwards,"Jul 02, 2019","Having laboured under the burden of being the Albiceleste messiah for almost a decade, the Barcelona star can now focus on just being Messi"
Worse than Maradona? Messi to the rescue but Argentina still clueless under Scaloni,Daniel Edwards,"Jun 20, 2019",The novice coach is dangerously out of his depth at this level and was lucky to have his captain bail him out in what was almost a disastrous defeat
A flop next to Messi AND Ronaldo: Why Dybala has failed alongside both superstars,Daniel Edwards,"Jun 19, 2019","Despite Argentina's Copa America woes, the Juventus forward is still not in contention for a place after falling short with club and country"
Who needs Messi? Fabian Ruiz & Spain underline outstanding potential with Under-21 Euros triumph,Mark Doyle,"Jun 30, 2019",La Rojita may not have an all-time great in their ranks but they do have a collection of gifted footballers - chief among them the Napoli midfielder
Messi powerless to turn around anarchic Argentina in damaging Copa defeat,Daniel Edwards,"Jun 16, 2019","The Albiceleste captain was just as powerless as the rest of the disappointing Albiceleste, who were deservedly beaten by Colombia in Salvador"
Aguero or Lautaro alongside Leo? How Messi’s Argentina will line up at Copa America,Daniel Edwards,"Jun 11, 2019","While the Barcelona wizard's presence is assured, there are still plenty of doubts surrounding the Albiceleste just days before the competition begins"
"No Copa, no GOAT? Messi has no chance of matching Maradona with this Argentina",Daniel Edwards,"Jun 14, 2019","There is nothing that the other-worldly No. 10 desires more than a trophy with his national team, after so many near-misses over the years"
Messi's perfect partner? Why €120m Griezmann move to Barca would be a gamble,Rik Sharma,"May 16, 2019","The French World Cup-winner has announced that he will leave Atletico Madrid this summer, but there are some potential risks if he ends up at Camp Nou"
Lifeless with Messi? How Coutinho’s career collapsed at Barcelona since Liverpool exit,Rik Sharma,"Apr 30, 2019",The Brazilian left Anfield in January 2018 in a potential £142 million deal but he has largely struggled to justify that huge fee
Messi vs Van Dijk: The battle for the Ballon d'Or,Josh Thomas,"May 01, 2019",An epic individual showdown awaits in Wednesday's Champions League tie between Barcelona and Liverpool
Camp Nou is Barcelona's temple and Messi is football's god,Rik Sharma,"May 01, 2019",The Argentine showed once again why he is the greatest of all time by scoring twice in a thrilling 3-0 win over Liverpool in the Champions League
"Messi, De Jong & De Ligt all together: Barcelona will be scary next season",Mark Doyle,"Apr 29, 2019",Finding the new Lionel Messi may prove impossible but the Blaugrana already look to have snapped up replacements for Sergio Busquets and Gerard Pique
Mbappe posting Messi-like scoring numbers as PSG win another Ligue 1 title,Josh Thomas,"Apr 21, 2019",The young Frenchman has been PSG’s title hero - with only the Barcelona legend scoring more league goals in Europe this season
Bloody lucky! Barcelona too good for United even on an off night for Messi & Busquets,Rik Sharma,"Apr 11, 2019",The Blaugrana enjoyed plenty of possession in their 1-0 win at Old Trafford but created few chances and needed an own goal to win the game
Ronaldo 41-16 Messi: Cristiano’s unbelievable Champions League knockout record,Mark Doyle,"Apr 15, 2019","Not only has the Portuguese scored more tournament goals than anyone else, he's also netted more in the quarter-finals, semi-finals and finals"
Only Leo performs miracles! Another Messi masterclass ends Man Utd's dreams,Rik Sharma,"Apr 16, 2019",Barcelona's legendary No.10 produced another incredible performance as the Blaugrana comfortably put Ole Gunnar Solskjaer's side to the sword
Watford wing wizard Deulofeu showing why he was once called the ‘new Messi’,Kieran Francis,"Apr 14, 2019","The Spanish talent has all the potential in the world, but can he show it on a consistent basis?"
Costa loses his head as Suarez and Messi keep theirs to seal Liga title for Barcelona,Mark Doyle,"Apr 08, 2019",The striker talked his way into a senseless straight red card for dissent as Diego Simeone's side ultimately succumbed to a fatal 2-0 loss at Camp Nou
Messi will be licking his lips as Man Utd suffer costly Wolves defeat,Kris Voakes,"Apr 03, 2019",United spurned the chance to go third in the Premier League with a self-inflicted defeat at Molineux and with Barcelona to come they need to improve
"With or without Messi, inexperienced Argentina face Copa America Mission Impossible",Daniel Edwards,"Mar 27, 2019",Disappointing results against Venezuela and Morocco overshadowed the captain's comeback and showed the uphill task he will face this June and July
Messi's return fails to paper over the cracks as Argentina suffer familiar woes,Daniel Edwards,"Mar 24, 2019",The Albiceleste were outplayed in a 3-1 defeat to Venezuela that raises serious doubts just months before the Copa America kicks off
Messi back to Barcelona best as free kick magic banishes Argentina woes,Rik Sharma,"Mar 30, 2019",The Argentina captain returned to the place where he is most comfortable after a frustrating international foray with the Albiceleste
One of Argentina's greatest strikers - but Higuain forever the man who cost Messi a World Cup,Daniel Edwards,"Mar 28, 2019","Despite netting 31 times for his nation, it is the crucial goals he missed for which the Chelsea forward will be forever remembered"
Magnificent Messi issues perfect riposte to Ronaldo in Barcelona masterclass,Rik Sharma,"Mar 13, 2019","Just 24 hours after the Portuguese's brilliant hat-trick against Atletico Madrid, the Argentine put on a show at Camp in a 5-1 win over Lyon"
Betis fans bow down as Messi drives Barcelona towards Liga title,Rik Sharma,"Mar 18, 2019",The Argentina was spectacular once again on a night where even the opposing fans had to relish in his greatness
Solskjaer back in Barcelona! Man Utd boss needs another Camp Nou miracle to upset Messi's men,Kris Voakes,"Mar 15, 2019",The Norwegian capped a remarkable comeback in Catalunya in 1999 but the caretaker manager is now facing his toughest Champions League assignment yet
'Mexican Messi' Lainez has no issue with Leo comparisons,Francisco Rico,"Mar 21, 2019","The 18-year-old, who finished eighth in the 2019 NxGn, is trying to learn as much as possible from the Barcelona No.10 and the rest of Liga's stars"
"All eyes on Messi’s return, but how the hell is Aguero still in Argentina exile?",Daniel Edwards,"Mar 20, 2019","Lionel Scaloni insists he wants to see new faces, but rumours persist of a rift between the Albiceleste coach and Manchester City striker"
Messi’s treble-treble: Barcelona superstar on track for Real history,Mark Doyle,"Mar 01, 2019",The Argentine played a pivotal role in the Blaugrana's historic triumphs in 2009 and 2015 but repeating the feat this year would be his greatest yet
Messi returns to form with sensational hat-trick to steal Barca win at Sevilla,Rik Sharma,"Feb 23, 2019","The Liga leaders looked ready to stumble in Andalusia, but their star man delivered them the three points with another brilliant outing"
'Messi or Ronaldo? I'd rather player with Ziyech!' - Ajax ace underlined potential against Madrid,James O'Connor,"Feb 15, 2019",The 25-year-old Moroccan attacker showed against the Champions League holders why he has long been linked with a move to one of Europe's elite clubs
Messidependencia! Barcelona are a Leo injury away from falling apart,Mark Doyle,"Feb 05, 2019","Ernesto Valverde should continue resting the Argentine attacker at every opportunity, given Barca's 'Messidependencia' is greater than ever before"
Who is Real Madrid signing Brahim Diaz? Man City's 'Messi-like' dribbler set for Bernabeu transfer,Rik Sharma,"Jan 06, 2019",The Premier League leaders were desperate to hold on to the teenage forward but he has moved to Madrid in pursuit of more regular game time
Barca stars Messi and Suarez show what Madrid are missing,Rik Sharma,"Jan 06, 2019","The pair drove the La Liga leaders past a determined Getafe side, while the European champions struggled at home to fall out of the title race"
Eight set-piece goals in one season! How Messi mastered the art of free-kicks,Ignasi Oliva Gispert,"May 07, 2019","The Argentine learned the craft at La Masia and perfected it under the eye of Diego Maradona, making him a deadly opponent - even behind a wall"
